index,tx_id,azimuth,distance_ring,distance_km,num_distance_points,frequency_ghz,time_percentage,polarization,antenna_height_tx_m,antenna_height_rx_m,tx_lat,tx_lon,rx_lat,rx_lon,Lb,Ep,elapsed_s
1,TX_0001,0.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34988235535686,-13.406917794382421,86.16550113908353,112.27934904970299,0.0016793339999985335
2,TX_0001,5.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349861853579005,-13.40648943563651,97.49819486640602,100.9466553223805,0.00022995800000025213
3,TX_0001,10.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349804349677402,-13.406064506228729,109.84625366080168,88.59859652798484,0.0002139169999999524
4,TX_0001,15.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349710281331053,-13.40564624025351,108.91498822274642,89.5298619660401,0.000213208999999992
5,TX_0001,20.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349580364505925,-13.4052378210805,86.172811836834,112.27203835195252,0.00020908299999966573
6,TX_0001,25.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34941558800451,-13.404842357123744,86.17593912307231,112.2689110657142,0.00020849999999938973
7,TX_0001,30.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34921720593871,-13.40446285818182,86.17593912307231,112.2689110657142,0.00024825000000028297
8,TX_0001,35.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348986728183368,-13.404102212529049,86.17593912307231,112.2689110657142,0.00020883300000029692
9,TX_0001,40.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348725908883154,-13.403763164932204,86.17593912307231,112.2689110657142,0.0002081250000003365
10,TX_0001,45.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348436733100336,-13.403448295760114,86.17593912307231,112.2689110657142,0.00020825000000002092
11,TX_0001,50.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348121401705127,-13.403160001345123,86.17918204088873,112.26566814789778,0.00020645800000096415
12,TX_0001,55.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347782314623695,-13.402900475745936,86.17918204088873,112.26566814789778,0.0002086250000008505
13,TX_0001,60.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347422052571295,-13.402671694050598,108.31692240375978,90.12792778502674,0.00020595800000045017
14,TX_0001,65.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34704335740974,-13.402475397346658,86.17754614411031,112.26730404467621,0.00020712499999930856
15,TX_0001,70.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.346649111278651,-13.402313079472862,86.17918204088873,112.26566814789778,0.00021374999999856925
16,TX_0001,75.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.346242314659376,-13.4021859756531,86.17918204088873,112.26566814789778,0.0002084169999996277
17,TX_0001,80.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34582606353862,-13.402095053099059,86.17918204088873,112.26566814789778,0.0002140419999996368
18,TX_0001,85.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.345403525845542,-13.402041003652949,86.17918204088873,112.26566814789778,0.000212167000000818
19,TX_0001,90.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344977917341687,-13.40202423852624,86.17754614411031,112.26730404467621,0.0002075839999999829
20,TX_0001,95.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344552477147275,-13.402044885174247,86.17754614411031,112.26730404467621,0.0002081670000002589
21,TX_0001,100.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344130443090078,-13.402102786330312,86.17918204088873,112.26566814789778,0.0002067079999985566
22,TX_0001,105.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.343715027064468,-13.402197501206738,86.17918204088873,112.26566814789778,0.00020787499999919135
23,TX_0001,110.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.343309390588171,-13.402328308853251,86.17918204088873,112.26566814789778,0.00021220800000065765
24,TX_0001,115.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342916620742713,-13.402494213647278,86.17918204088873,112.26566814789778,0.0002078750000009677
25,TX_0001,120.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34253970668059,-13.402693952874214,86.17754614411031,112.26730404467621,0.00020758299999990015
26,TX_0001,125.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342181516877917,-13.40292600633982,86.17754614411031,112.26730404467621,0.0002071670000010073
27,TX_0001,130.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341844777305681,-13.40318860794159,86.17754614411031,112.26730404467621,0.0002054579999999362
28,TX_0001,135.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341532050685535,-13.403479759110935,108.3177285108899,90.12712167789661,0.00021095800000026088
29,TX_0001,140.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341245716988091,-13.403797244023844,86.17754614411031,112.26730404467621,0.00020745800000021575
